x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,1,0,-0.00568973,-0.00421157,0,-0.00564387
0,1,1,0.10587,-0.00564387,0,0
0,1,2,0.000668734,0,0,0
0,2,0,0.0758634,0.372524,-0.00921095,0.0859716
0,2,1,0.934085,0.136997,0.0512487,0.339296
0,2,2,6.84988,-0.00917962,0.175095,0.257673
0,2,3,-0.464805,0.014301,0.414557,-0.0111327
0,3,0,27.7062,36.7297,30.3164,28.4613
0,3,1,25.2504,42.4294,28.5876,32.3436
0,3,2,47.8725,30.7673,33.8029,36.7552
0,3,3,29.462,25.439,39.3226,28.4317
0,4,0,34.6258,55.9517,45.3489,50.855
0,4,1,64.2852,51.1738,51.1975,56.0491
0,4,2,48.9757,46.3052,55.7003,51.1978
0,4,3,44.2393,51.5193,49.1937,44.767
0,5,0,35.2536,19.0496,20.14,23.8909
0,5,1,15.7316,13.9878,24.8946,20.4627
0,5,2,12.2816,17.4201,19.8726,13.9834
0,5,3,18.1014,27.0293,10.7827,15.702
0,6,0,10.7325,0.804572,0.126297,0.285589
0,6,1,1.27004,0.210736,3.27434,0.41069
0,6,2,0.209494,0.260762,1.01553,0.10475
0,6,3,-0.474343,2.15265,0.203067,0.215819
0,7,0,-0.0327692,-0.0185242,-0.0327951,-0.0289902
0,7,1,0,-0.011169,-0.000919238,-0.022128
0,7,2,-0.0353569,-0.042907,-0.00499778,-0.0160705
0,7,3,-0.214184,-0.0384229,-0.0293582,-0.029624
1,1,0,0,0.00671008,0,0.00564387
1,1,1,0.112309,-0.00564387,-0.0100653,0.000795232
1,1,2,-0.000776563,-0.00564387,0,-0.0101314
1,1,3,-0.107234,0,-0.00564387,0
1,2,0,0.332944,1.04889,0.0426137,0.316921
1,2,1,1.45215,0.0503082,0.638687,0.546737
1,2,2,2.38794,-0.0174949,0.446563,0.186675
1,2,3,-0.508475,0.252602,0.244364,0.0188935
1,3,0,11.3241,16.4504,32.924,12.6965
